catalogue_id,page_label,iiif_url
BO0624_15268,p. 10,https://historica.unibo.it/iiif-server/575ff97e-39b0-4ca2-b964-f24e5d8ce1ac/full/full/0/default.jpg
BO0624_15268,p. 11,https://historica.unibo.it/iiif-server/14cd412c-fa0f-44d5-9308-c237177fe952/full/full/0/default.jpg
BO0624_15268,p. 12,https://historica.unibo.it/iiif-server/762ff617-183e-4133-91e8-e16bfab94dc1/full/full/0/default.jpg
BO0624_15268,p. 13,https://historica.unibo.it/iiif-server/ab4c4b3b-04e9-4265-ab4f-e293c1755239/full/full/0/default.jpg
BO0624_15268,p. 4,https://historica.unibo.it/iiif-server/1899f17d-37c1-4609-8726-199143200acd/full/full/0/default.jpg
BO0624_15268,p. 5,https://historica.unibo.it/iiif-server/cd5cf505-13b6-4b70-81b8-2d55587f3320/full/full/0/default.jpg
BO0624_15268,p. 6,https://historica.unibo.it/iiif-server/1d6ee019-76f5-4ef7-b5a4-372dd7808c98/full/full/0/default.jpg
BO0624_15268,p. 7,https://historica.unibo.it/iiif-server/6d57ef94-f8b4-49fa-853d-a9e73b35d49f/full/full/0/default.jpg
BO0624_15268,p. 8,https://historica.unibo.it/iiif-server/086c16be-c775-44c0-b85a-d66bdf4aea77/full/full/0/default.jpg
BO0624_15268,p. 9,https://historica.unibo.it/iiif-server/e9034181-bf06-4c21-9127-c053c33f5e0a/full/full/0/default.jpg
BO0624_15268,p. [3],https://historica.unibo.it/iiif-server/1df2f44b-d278-4cce-8e44-816c79d794cd/full/full/0/default.jpg
BO0624_15269,p. 10,https://historica.unibo.it/iiif-server/9393ed75-8d7e-418e-8533-2404b860517c/full/full/0/default.jpg
BO0624_15269,p. 11,https://historica.unibo.it/iiif-server/61bca36f-5090-4962-acd7-4c99e5e913d3/full/full/0/default.jpg
BO0624_15269,p. 12,https://historica.unibo.it/iiif-server/b6cef5cb-40a5-4a15-948f-f4cdebee3192/full/full/0/default.jpg
BO0624_15269,p. 13,https://historica.unibo.it/iiif-server/f3d022fc-a57e-4b3a-b039-16493706da0f/full/full/0/default.jpg
BO0624_15269,p. 14,https://historica.unibo.it/iiif-server/325f172c-22d6-4007-961f-2df196a6d1d8/full/full/0/default.jpg
BO0624_15269,p. 15,https://historica.unibo.it/iiif-server/a7270635-b1af-4245-9784-45cfcf58165a/full/full/0/default.jpg
BO0624_15269,p. 16,https://historica.unibo.it/iiif-server/5030bd15-675d-4d8a-8485-837a3c28639e/full/full/0/default.jpg
BO0624_15269,p. 17,https://historica.unibo.it/iiif-server/3cd635da-a159-41d7-a80b-0238fcdeb4d4/full/full/0/default.jpg
