canonical,variants,count
FLORENTINISCHE SCHULE,FLORENTINE MASTER | FLORENTINER MEISTER | FLORENTINER SCHULE | FLORENTINISCH | FLORENTINISCHE MEISTER | FLORENTINISCHE SCHULE | FLORENTINISCHER MEISTER | FLORENTINISCHERMALER,68
Hollandische Schule,Hollandilche Schule | Hollandische Schule | Hollandische Schule des 17. Jahrhunderts | Hollandische Schule des 17.Jahrhunderts | Hollandische Schule um 1700 | Hollindische Schule | HollÃ¤ndische Schule | hollandischen Schule des XVI. Jahrhunderts | hollÃ¤ndische Schule,68
VENEZIANISCHER MEISTER,VENETIAN MASTER | VENETIANISCHER MEISTER | VENETIANISCHER MEISTER AF | VENEZIANER MEISTER | VENEZIANISCHER MEISTER | Venetian | Venetianer Meister | Venetianische | Venetianischer Meister | Venezianisch | Venezianischer Meister,66
Ecole Francaise,Ecole Francaise | Ecole Francaise XVII siecle | Ecole Francaise XVIII Siecle | Ecole Francaise XVIII siecle | Ecole Francaise du XV Siecle | Ecole francaise,65
Scuola Fiamminga,Alt-Niederlandische Schule | Alt-niederlandische Schule | Altniederlindiicte Schule | Altniederlindische Schule | AltniederlÃ¤ndische Schule | Altvenetianische Schule | Scuola Bresciana | Scuola Fiamminga | Scuola Umbra | Scuola di Buggiano | Scuola famminga | Scuola fiamminga | Scuola padovana | Scuola toscana,62
Altdeutsche Schule,Altdeutsche Schule | Altdeutsche Schule um 146o | Altdeutsche Schulen,62
NIEDERLANDISCHER MEISTER DES 18. JAHRHUNDERTS,"NIEDERLAND. MEISTER DES SPÃTEN 16.JAHRH. | NIEDERLAND. STILLEBEN-MALER DES 17.JAHRH. | NIEDERLANDISCHE MEISTER DES 17. JAHRHUNDERTS | NIEDERLANDISCHE MEISTER DES 17.JAHRHUNDERTS | NIEDERLANDISCHE SCHULE 17 Jahrhundert | NIEDERLANDISCHEMEISTER DES 17.JAHRHUNDERTS | NIEDERLANDISCHER MEISTER DES 16. JAHRH. | NIEDERLANDISCHER MEISTER DES 16.JAHRH. | NIEDERLANDISCHER MEISTER DES 17. JAHRH. | NIEDERLANDISCHER MEISTER DES 17. JAHRHUNDERTS | NIEDERLANDISCHER MEISTER DES 17.JAHRH | NIEDERLANDISCHER MEISTER DES 17.JAHRH. | NIEDERLANDISCHER MEISTER DES 17.JAHRHUNDERTS | NIEDERLANDISCHER MEISTER DES 18. JAHRHUNDERTS | NIEDERLANDISCHER MEISTER DES 18.JAHRH. | NIEDERLANDISCHER MEISTER DES 18.JAHRHUNDERT | NIEDERLANDISCHER MEISTER DES 18.JAHRHUNDERTS | NIEDERLANDISCHER MEISTER DES 19. JAHRHUNDERTS | NIEDERLANDISCHER MEISTER DES XVII. JAHRH. | NIEDERLANDISCHER MEISTER DES XVIIIJAHRH | NIEDERLANDISCHER MEISTER vom Anfang des 17. Jahrh. | NIEDERLANDISCHER MEISTER,ANFANG XVII. JAHRH. | NIEDERLANDISCHER MEISTER,XVI.JAHRH. | NIEDERLANDISCHER MEISTER,XVII.JAHRH. | NIEDERLANDISCHER MEISTER,XVIII.JAHRH. | NIEDERLANDISCHER STILLEBEN= MALER DES 17.JAHRHUNDERTS | NIEDERLÃNDISCHE SCHULE DES 17.JAHRH. | NIEDERLÃNDISCHER MALER DES 17.JAHRH. | NIEDERLÃNDISCHER MALER DES 18.JAHRH. | NIEDERLÃNDISCHER MEISTER DES 16.JAHRH. | NIEDERLÃNDISCHER MEISTER DES 17.JAHRH. | Niederlandische Schule 17. Jahrhundert | Niederlandische Schule 18. Jahrhundert | Niederlandische Schule des 16. Jahrh. | Niederlandische Schule des 16. Jahrhunderts | Niederlandische Schule. 16. Jahrh. | Niederlandische Schule. 17. Jahrundert | Niederlandischer Meister des XV. Jahrh | Niederlandischer Meister des XVIl. Jahrh | Niederlandischer Meister des XVll. Jahrh.",62
VLAMISCHE SCHULE,VLAEMISCHE SCHULE | VLAMISCHE SCHULE | VLAMISCHESCHULE | VLEMISCHE SCHULE,60
VENEZIANISCHE SCHULE,"VENETIANISCHE SCHULE | VENETIANISCHER MEISTER 1.HALFTE DES 16.JAHRHUNDERTS | VENEZIANER MEISTER DES 16. JAHRHUNDERTS | VENEZIANER MEISTER DES 17.JAHRHUNDERTS | VENEZIANER SCHULE DES XVII.JAHRHUNDERTS | VENEZIANISCHE SCHULE | VENEZIANISCHE SCHULE DES XVI. JAHRHUNDERTS | VENEZIANISCHE SCHULE IM STILE DES BONIFAZIO | VENEZIANISCHE SCHULE NACH TIZIAN | VENEZIANISCHE SCHULE UM 1500 | VENEZIANISCHE SCHULE UM 1530 | VENEZIANISCHE SCHULE des 16. Jahrhunderts | VENEZIANISCHE SCHULE,um 1600 | VENEZIANISCHE SCHULE,um 1680 | VENEZIANISCHER MEISTER DES 17. JAHRHUNDERTS | VENEZIANISCHESCHULE",59
UNBEKANNTER MEISTER,UNBEKANNTE MEISTER | UNBEKANNTER DEUTSCHER MEISTER | UNBEKANNTER ENGLISCHER MEISTER | UNBEKANNTER FRANZOSISCHER MEISTER | UNBEKANNTER MEISTER | UNBEKANNTER MUNCHENER | UNBEKANNTER MUNCHENER MEISTER | UNBEKANNTER NIEDERLENDISCHER MEISTER | UNBEKANNTER SPANISCHER MEISTER | UNBEKANNTER VLAMISCHER MEISTER,56
