Frasi in NLP;Triplette in NLP;;;CIDOC CRM;;;Vocabolari esterni;;Application Profile - Evento
"""L'Attribuzione è destinata all'Attore""";Attribuzione_1;è destinatario;Attore_1;crm:E13_Attribute_Assignment;crm:P141_assigned;crm:E21_Person [collezionisti/acquirenti];/;/;
"""Il Ruolo riguarda la partecipazione all'Evento""";Ruolo_1;è relativo ha;Partecipazione;crm:E13_Attribute_Assignment;crm:P177_assigned_property_of_type;crm:P11_had_participant;/;/;
"""L'Attribuzione è di tipo [ruolo specifico]""";Attribuzione_1;è di tipo;Ruolo_1;crm:E13_Attribute_Assignment;crm:P2_has_type;crm:E55_Type;/;"Collezionista [aat:300435149]
Acquirente [aat:300445695]";
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
