index,num,title,text,catalogue_id,image_online
21,50,53,"50

53",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000161-p.%2020.jpg/full/max/0/default.jpg
22,54,Marine.,"54

Marine.

Des center-boats filent le long d'une berge plantee d'arbres, aux approches d'un temps orageux. Un canot monte par une equipe de quatre rameurs semble lutter de vitesse avec des barques a voile.

## JULES GODENNE.

Bois Haut,o 4o;Larg.0.65

HENRI LEYS.

A l'eglise.

Un vieillard qui, de par son costume, semble appartenir a la noblesse ou a la magistrature, est assis au banc des notables et s'est assoupi. Nombreuses figures dans le fond.

Signe: HENRI LEYs,1856.

Toile Haut o22;Larg.010.

JOSEPH PAUWELS.

Paysage.

Sous-bois, avec figures.

Bois.Haut.o.23;Larg:0.25.

AUG,DAEL.

Etude de fleurs.

Toile,Haut.o 46;Larg.o.32.

LE MEME

Paysage.

Jardin en temps d’orage.

Toile.Haut,o.8o;Larg,1.oo.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000161-p.%2020.jpg/full/max/0/default.jpg
23,56,57,"56

57",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000172-p.%2021.jpg/full/max/0/default.jpg
24,58,## La Sieste.,"58

## La Sieste.

Etude de plein air. Une jeune femme, assise, apres dejeuner, s'est mise un peu a l'aise... pour dormir.

Bois,Haut,o.52;Larg.0 46.

## LE MEME

Gigolette.

Etude dune fille, quelques leurs attachees aux cheveux, un corsage de toile.

Signe:A.DAEL,1885.

Toile,Haut.o 55;Larg 0.42.

## LE MEME

Un coin d'atelier.

Une jeune femme est assise devant un chevalet. Un jardin apparaissant par des fenetres forme le fond.

Signe:Aug. DAEL.

Bois.Haut.o.6o;Larg.048.

## LE MEME

Jalousie.

Jeune femme, la poitrine nue,un collier de sequins au cou, une draperie blanche jetee sur la tete, le corps drape de soie jaune. Au fond, des buissons de feurs.

Signe :A. DAEL·

Toile. Haut.1.15;Larg.o.88.

## AUG.DAEL",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000172-p.%2021.jpg/full/max/0/default.jpg
25,60,61,"60

61",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000181-p.%2022.jpg/full/max/0/default.jpg
26,62,63,"62

63

## La Liseuse.

Jeune femme assise en plein air, feuilletant un livre.

Toile.Haut.o.72;Larg.o55.

## LE MEME

## La Malade.

Etude de femme.

Signe:A.DAEL,Paris,1886.

## LE MEME

Etude de jeune femme.

Toile.Haut.o5o;Larg.0 45.

## LE MEME

Villegiature.

Une femme coiffee d'un chapeau de paille et tenanta la main des feurs des champs, se dirige vers un banc de jardin, derriere lequel un champ de blé.

Toile. Haut.o.54;Larg.o.34

## LEMEME

Etude de pivoines.

Toile. Haut,o.48;Larg.o.32.

## AUG.DAEL",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000181-p.%2022.jpg/full/max/0/default.jpg
27,64,65,"64

65",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000182-p.%2023.jpg/full/max/0/default.jpg
28,66,67,"66

67",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000182-p.%2023.jpg/full/max/0/default.jpg
29,68,## L'Odalisque.,"68

## L'Odalisque.

Etude de femme, en buste, collier de sequins, draperie de soie rouge.

Toile.Haut, o.75;Larg. 0.46.

## LE MEME

## Les Demolisseurs (Esquisse).

Etude des terrains de demolition des glacis de la citadelle de Gand.

Signe:A. DAEL, 1885.

## LEMEME

## Viendra-t-il?

Une jeune femme, jolie figure, costume modeste,est assise et semble s'impatienter. C'est un modele attendant l'artiste.

Toile.Haut.o.95;Larg.o.45.

Signe: A.DAEL, 1885.

## AUG.DAEL

## Etude de jeune paysanne.

Signé:A.DAEL,1883.

Toile.Haut.o.6o:Larg o 45.

## LE MEME

## Danseuse au tambourin.

Toile.Haut. o.5o;Larg.0.25.

## LEMEME",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000182-p.%2023.jpg/full/max/0/default.jpg
30,70,71,"70

71",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000191-p.%2024.jpg/full/max/0/default.jpg
