ZERI,variants,new
,"of ancient Egyptian objects,comprising a fine blue Ushabti figure of Seti Ist,Men-Maat-Ra,4 others in faience and wood, an alabaster unguent vessel with lid, 2 with unexamined contents,10 bronze amulets of Osiris on step plinth,a blue faience ring, etc",True
,"of Etruscan bucchero ware and other vases,comprising 2 kantheri, several patera,frag- A A scale model of the Ruins of Pompei, showing the Forum, temples of Neptune and Isis, the small and great theatres, etc",True
,"of Beautiful Drawings of Ancient Seals of Wales, Cumberland and Ireland,by B",True
,of Engravings of Emblems by H,True
,"of Water-colour Drawings, Pencil Sketches, etc",True
,"der Beruhmtesten Pallaste Gebaide und der Schonsten Gegenden von und um, Wien, with 90 coloured views, sm",True
,"of Caricatures, Coloured other Costume Plates, Sporting Prints, Water-colour Drawings, Coloured Plates of Dancing, Head-dress, etc",True
,"of Prints, by Callot, Stefano, Della Bella and others, Costumes for the Four Seasons",True
,"on various subjects,Political, Corn, Currency,Foreign Affairs, etc",True
,"of Old Plays,bound in 4 vol",True
,of the Marquis Aldovani,True
,米 of Mr,True
,"of Sir Julian Goldsmid,Bart",True
,"Boitelle,Paris,1867 Collection of E",True
,of E,True
,"Westonbirt,"" plate lecix",True
,"Westonbirt,""",True
,Dorchester,True
,"Dorchester House,""plate clii",True
,"Westonbirt,"" plate loccii See Illaustration",True
,"Dorchester House,""plate cocic",True
,"Westonbirt, plate ccic",True
,"Westonbirt,"" plate cciii",True
,"Dorchester House,""plate ccccvii",True
,"Dorchester House,"" plate cciv",True
,"Westonbirt,"" plate lcccv",True
,"Dorchester House,""plate ceccic",True
,"Dorchester House,"" plate ccccvii",True
,"Paris,1873 Purchased from Brooks in 1876 Illustrated in ""The Holford Collection, Westonbirt,""",True
,"Dorchester House,""plate cxlii",True
,"Dorchester House,"" plate ccliv",True
,"Dorchester House,"" plate colvi",True
,"Dorchester House,""plate ccce",True
,"Dorchester House,"" plate cii",True
,"Dorchester House,"" plate cov",True
,"Westonbirt"" plate lccci",True
,"Dorchester House,""plate col",True
,"Westonbirt, plate cxcviii",True
,"Dorchester House"" plate co",True
,"Westonbirt,"" plate lcic",True
,"Westonbirt, plate lccii",True
,"Westonbirt,"" plate lecii",True
,"Dorchester House,"""" plate cli",True
,"Westonbirt, plate leccin",True
,"Dorchester House,plate coi",True
,"Westonbirt,"" plate lcciv",True
,"Dorchester House,"" plate coii",True
,"Westonbirt,"" platelccv See Illustration",True
,"Dorchester House,""plate coiii",True
,"Dorchester House,""plate cceci",True
,"Dorchester House""""plate cclvii",True
,"Dorchester House,"" plate cxlvii",True
,"Westonbirt, plate lcvii",True
,"Westonbirt,”",True
,"Dorchester House,"" plate cccciii",True
,"of Charles Heusch, Esq",True
,"Dorchester House,"" plate coccv",True
,"Dorchester House,"" plate clxiv",True
,"Westonbirt,"" plate cci",True
,"Westonbirt, plate lccvii",True
,ofLady Knowles,True
,"Dorchester House,"" plate clxii",True
,"Westonbirt, plate cciv",True
,"Westonbirt, plate cciii",True
,"Westonbirt,"" plate lcxcvii",True
,"Dorchester House,""plate cce",True
,"Dorchester House,""plate ccic",True
,"Dorchester House,""plate cacii",True
,"Westonbirt,"" plate lcccic",True
,"Westonbirt,"" platecc",True
,"Dorchester House,""plate covii",True
,"Dorchester House,"" plate cvi",True
,"Westonbirt, plate lccui",True
,"Dorchester House""plate cccviii",True
,"Westonbirt,"" platelcv",True
,"Westonbirt, plate cxviii",True
,|,True
,"A cream-coloured bottle,modelled with bands of formal lotos in relief-8 in",True
,"and a bottle, enamelled with golden pheasants and fowers-7 in",True
,"of Alfred de Rothschild,Esq",True
,1892,True
,"of Charles Butler, Esq",True
,di diciotto scene teatrali incise all'acqua,True
,"des sujets les plus interessans de la Mythologie, graves d'apres les dessins de Diepenbeck, eleve de Rubens",True
,Curie,True
,de 136 carreaux de,True
,de cent vingt-sept carreaux de pierres differentes antiques,True
,de cent et dix fragments d’anciens ver,True
,di diaspri sanguigni,True
,du Prince Bonaparte,True
,"DE TRENTE-QUATRE LAMPES(LUCERNE) ROMAINES ET CHRETIENNES fort interessante pour les formes, pour les emblemes et les inscriptions",True
,DE TRENTE-QUATRE IDOLES,True
,DE TRENTE IDOLES ETRUSQUES,True
