URI,label,type,wikidata_id,wikidata_label,wikidata_description,match_type
http://w3id.org/zac/mostra_artistica_permanente,Mostra Artistica Permanente,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/impresa_di_vendite_arte_antica_e_moderna,Impresa di vendite Arte antica e moderna,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/c_and_e_canessa,C. & E. Canessa,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/sotheby_wilkinson_and_hodge,Sotheby Wilkinson & Hodge,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galerie_hugo_helbing,Galerie Hugo Helbing,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q86925852,Galerie Hugo Helbing,commercial art gallery and auction house Aryanized under Nazis,label
http://w3id.org/zac/bertaux_emile,"Bertaux, Émile",http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q103892871,"Bertaux, Emile",encyclopedia article,label
http://w3id.org/zac/michaelsen,Michaelsen,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q1670971,Michaelsen,family name,label
http://w3id.org/zac/lübecker_kunst-auktions-haus_c_m_michaelsen,Lübecker Kunst-Auktions-Haus C. M. Michaelsen,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/sammlung_buhrig_h,Sammlung Buhrig H.,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/hermann_maurer,Hermann Maurer,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q133608999,Hermann Franz Wilhelm Maurer,,alias
http://w3id.org/zac/karl_w_hiersemann,Karl W. Hiersemann,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q1473427,Karl Wilhelm Hiersemann,German antiquarian seller and publisher (1854–1928),alias
http://w3id.org/zac/galleria_warowland,Galleria Warowland,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q24934383,Galleria Warowland,"building in Salsomaggiore Terme, Italy",label
http://w3id.org/zac/rossi_dario_g,"Rossi, Dario G.",http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/cesare_galardelli,Cesare Galardelli,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q123983023,Cesare Galardelli,,label
http://w3id.org/zac/bangel_rudolf,"Bangel, Rudolf",http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/f_x_weizinger_and_co,F. X. Weizinger & Co.,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/casa_di_vendite_errico_fraia,Casa di vendite Errico Fraia,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/karl_ernst_henrici,Karl Ernst Henrici,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q1730892,Karl Ernst Henrici,,label
http://w3id.org/zac/galleria_geri,Galleria Geri,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/paul_cassirer,Paul Cassirer,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q65351,Paul Cassirer,German art dealer (1871–1926),label
http://w3id.org/zac/paul_cassirer,Paul Cassirer,http://www.cidoc-crm.org/cidoc-crm/E21_Person,Q65351,Paul Cassirer,German art dealer (1871–1926),label
http://w3id.org/zac/american_art_association,American Art Association,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q16961275,American Art Association,"American art gallery and auction house started in NYC in 1883, merged with Anderson Galleries in 1929",label
http://w3id.org/zac/heinrich_hahn_kunsthandlung,Heinrich Hahn Kunsthandlung,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/impresa_vendite_giuseppe_cosci,Impresa vendite Giuseppe Cosci,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/canessa_fraia_silvestri,Canessa Fraia Silvestri,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/fac_prestel,F.A.C. Prestel,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/hugo_ruef,Hugo Ruef,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galleria_darte_casa_di_vendite,Galleria d'arte casa di vendite,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galleria_geri_boralevi,Galleria Geri Boralevi,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/casa_di_vendite_alfredo_materazzi,Casa di vendite Alfredo Materazzi,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/kölner_kunst-_und_auktions-haus,Kölner Kunst- und Auktions-Haus,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galleria_ciardiello,Galleria Ciardiello,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/eugen_krug_kunst-auktionshaus,Eugen Krug Kunst-Auktionshaus,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/g_adolf_pohl,G. Adolf Pohl,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/august_boese,August Boese,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/kunsthaus_heinrich_hahn,Kunsthaus Heinrich Hahn,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q63633720,Kunsthaus Heinrich Hahn,German auction house,label
http://w3id.org/zac/galeries_fischer,Galeries Fischer,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/impresa_di_vendite_antonio_sarno,Impresa di vendite Antonio Sarno,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galleria_darte_vitelli,Galleria d'arte Vitelli,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/casa_di_vendite_guido_tavazzi,Casa di vendite Guido Tavazzi,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galleria_mario_giacomini,Galleria Mario Giacomini,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/max_perl_buch-_und_kunstantiquariat,Max Perl Buch- und Kunstantiquariat,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/jac_hecht_kunst-auctions-haus,Jac. Hecht Kunst-Auctions-Haus,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/kunsthaus_universum,Kunsthaus Universum,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/american_art_galleries,American Art Galleries,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q18565755,American Art Galleries,"gallery in New York, New York",label
http://w3id.org/zac/kunstauktionhaus_alte_und_neue_kunst,Kunstauktionhaus Alte und Neue Kunst,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/meier_kunsthandlung_emil_richter,Meier Kunsthandlung Emil Richter,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/tavazzi_guido,"Tavazzi, Guido",http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/auktionshaus_siegmund_rosenbaum,Auktionshaus Siegmund Rosenbaum,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galerie_georges_giroux,Galerie Georges Giroux,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q1981549,Galerie Georges Giroux,,label
http://w3id.org/zac/kunsthandlung_ludwig_schames,Kunsthandlung Ludwig Schames,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/adolph_e_cahn,Adolph E. Cahn,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q23310997,Adolph E. Cahn,,label
http://w3id.org/zac/galleria_pesaro,Galleria Pesaro,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q21235146,Galleria Pesaro,former commercial art gallery,label
http://w3id.org/zac/galleria_canessa,Galleria Canessa,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/anderson_galleries,Anderson Galleries,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q72940895,Anderson Galleries,1887-1934 New York City NY Dealer/Gallery,label
http://w3id.org/zac/dorotheum,Dorotheum,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q668545,Dorotheum,Austrian jewelry/art trading company and auction house in Vienna,label
http://w3id.org/zac/grandke,Grandke,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q111759186,Grandke,family name,label
http://w3id.org/zac/altkunst,Altkunst,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/paul_graupe,Paul Graupe,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q104673789,Paul Graupe,Holocaust victim (born 1870),label
http://w3id.org/zac/galleria_scopinich,Galleria Scopinich,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/museo_mylius,Museo Mylius,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/silvestri_alfredo,"Silvestri, Alfredo",http://www.cidoc-crm.org/cidoc-crm/E21_Person,,,,
http://w3id.org/zac/galleria_dante_giacomini,Galleria Dante Giacomini,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galleria_lurati,Galleria Lurati,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/sotheby_and_co,Sotheby & Co.,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/hôtel_des_ventes,Hôtel des Ventes,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q132442567,Hôtel des ventes d'Enghien-les-Bains,"auction house in Enghien-les-Bains, north of Paris, France",label
http://w3id.org/zac/wertheim,Wertheim,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q20998264,Wertheim,family name,label
http://w3id.org/zac/internationales_kunst-_und_auktions_haus,Internationales Kunst- und Auktions Haus,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/auctio,Auctio,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q177923,auction,"process of buying and selling goods or services by offering them up for bid, taking bids, and then selling the item to the highest bidder",label
http://w3id.org/zac/p_and_p_santamaria,P. & P. Santamaria,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/hermann_ball,Hermann Ball,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q56753122,Hermann Ball,German art dealer (1857 - 1924),label
http://w3id.org/zac/rudolph_elsas_kunstauktionshaus,Rudolph Elsas Kunstauktionshaus,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/kunst-auktionshaus_continental_fritz_rosenfeld,Kunst-Auktionshaus Continental Fritz Rosenfeld,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/auktionshaus_des_westens,Auktionshaus des Westens,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galleria_sestieri,Galleria Sestieri,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/impresa_vendite_asta_pubblica_agori_and_l_pandolfini,Impresa Vendite Asta Pubblica A.Gori & L. Pandolfini,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/saga,S.A.G.A.,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q887002,S.A.G.A.P.O.,single,label
http://w3id.org/zac/galleria_sestieri__casa_di_vendite_guido_tavazzi,Galleria Sestieri || Casa di vendite Guido Tavazzi,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/palais_des_beaux-arts,Palais des Beaux-Arts,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q106556535,Bozar,cultural institution in Brussels,alias
http://w3id.org/zac/mensing_and_fils_frederick_muller,Mensing & Fils Frederick Muller,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/max_michels_kunsthandlung,Max Michels Kunsthandlung,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/swarzenski_georg,"Swarzenski, Georg",http://www.cidoc-crm.org/cidoc-crm/E21_Person,,,,
http://w3id.org/zac/mensing_and_sohn_frederick_muller,Mensing & Sohn Frederick Muller,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/alte_und_neue_kunst,Alte und Neue Kunst,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q107019106,Speculum artis,,alias
http://w3id.org/zac/canetta_gino,"Canetta, Gino",http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/canetta_gino,"Canetta, Gino",http://www.cidoc-crm.org/cidoc-crm/E21_Person,,,,
http://w3id.org/zac/galleria_lantonina,Galleria L'Antonina,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/pollak_ludwig,"Pollak, Ludwig",http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/günther_deneke,Günther Deneke,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q1561402,Günther Deneke,German art historian and archivist (1882–1942),label
http://w3id.org/zac/galerie_alfred_flechtheim,Galerie Alfred Flechtheim,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galerie_fischer,Galerie Fischer,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q47001605,Galerie Fischer,Swiss auction house,label
