catalogue_id,prev_num,current_num,title,excerpt
documents/BO0624_4389,356,2,"giacente sul klinè, sfingi e piccoli geni dai due lati. Epoca romana.","2. giacente sul klinè, sfingi e piccoli geni dai due lati. Epoca romana."
documents/BO0624_4389,3,357,URNA cineraria di marmo con encarpi e teste di ariete e co-,357. URNA cineraria di marmo con encarpi e teste di ariete e co-
documents/BO0624_4389,357,5,perchio a foglie imbricate. Epoca romana.,5. perchio a foglie imbricate. Epoca romana.
documents/BO0624_4389,6,358,CIPPo funerario etrusco con bassorilievo rappresentante rito funebre. Pietra. Secolo V av. Cr.,"358. CIPPo funerario etrusco con bassorilievo rappresentante rito 8. funebre. Pietra. Secolo V av. Cr.

Alt. M. 0.28 - Lung. M. 0.62."
documents/BO0624_4389,377,2,un canestro con mazzo di fiori. Lavoro a sbalzo. (Secolo XVIII).,"2. un canestro con mazzo di fiori. Lavoro a sbalzo. (Secolo XVIII).

M. 0.43 X M. 0.32."
documents/BO0624_4389,2,377,"bis. SPORTELLO da finestra in vetro dipinto a colori, rappresentante Santa Reparata ritratta entro edicola ad intera figura: nel basso stemma inquadrato con giglio nel centro.","- 377 bis. SPORTELLO da finestra in vetro dipinto a colori, rappresentante Santa Reparata ritratta entro edicola ad intera figura: nel basso stemma inquadrato con giglio nel centro.

Alt. M. 2.20 - Larg. M. 0.68.

## Bronzi."
documents/BO0624_4389,440,2,sedile ricoperti di cuoio impresso a fiori e ornati. (Secolo XVII).,2. sedile ricoperti di cuoio impresso a fiori e ornati. (Secolo XVII).
documents/BO0624_4389,3,441,DODICI SEDIE di noce con giallo. (Secolo XVII).,441. DODICI SEDIE di noce con giallo. (Secolo XVII).
documents/BO0624_4389,443,8,perti di cuoio impresso a fiori e ornati. (Secolo XVII).,8. perti di cuoio impresso a fiori e ornati. (Secolo XVII).
documents/BO0624_4389,8,144,NOVE POLTRONE a braccioli in noce verniciata nero e oro con,144. NOVE POLTRONE a braccioli in noce verniciata nero e oro con
documents/BO0624_4389,144,2,sedile ricoperto di cuoio. (Luigi XV).,2. sedile ricoperto di cuoio. (Luigi XV).
documents/BO0624_4389,2,445,CoMO-SCRIVANIA in noce intarsiata con tiretti e sportello calatore. (Epoca Luigi XV).,"445. CoMO-SCRIVANIA in noce intarsiata con tiretti e sportello calatore. (Epoca Luigi XV).

M. 1.08 X M. 1.05."
documents/BO0624_4389,454,2,"Floricus Prevost 1564. In-fol. di pp. num. 904, 235, car. rot. con eleganti grandi iniziali.","2. Floricus Prevost 1564. In-fol. di pp. num. 904, 235, car. rot. con eleganti grandi iniziali.
- b) SAYRUS GREG. Clavis Sacerdotum casuum conscientiae. Venetüs, B. Barebius, 1615.
- c) Liber Prophetarum. Venetüs, L. A. Juncta, 1533, in-16°."
documents/BO0624_4389,2,5,Legat. artistica del tempo con taglio dor.,5. Legat. artistica del tempo con taglio dor.
documents/BO0624_4389,5,455,TESTAMENTUM (NOVUM)... cuius Graeco contextui respondent interpretationes duae... THEODORI BEZAE. [Genevae).,"455. TESTAMENTUM (NOVUM)... cuius Graeco contextui respondent interpretationes duae... THEODORI BEZAE. [Genevae).
- E. Vignon, 1598, in-fol., leg. in pergam."
documents/BO0624_4389,456,9,"Rivingtons, 1860-67, vol. I-II.","9. Rivingtons, 1860-67, vol. I-II.
- b) BOOK (The) of PSALMS. In the authorized Version. London,"
documents/BO0624_4389,9,11,"Rivingtons, 1867.","11. Rivingtons, 1867."
documents/BO0624_4389,11,457,"a) ENGLISHMAN (The) GREEK CONCORDANCE of the NEW TESTAMENT. London, S. Bagstei, 1870. London, Macmillan, 1871.","457. a) ENGLISHMAN (The) GREEK CONCORDANCE of the NEW TESTAMENT. London, S. Bagstei, 1870. 13. London, Macmillan, 1871.
- b) TRENCH Rich. Chen. — Synonyms of the New Testament."
documents/BO0624_4389,458,16,"Scribner, 1868.","16. Scribner, 1868."
documents/BO0624_4389,16,6,") LANGE John Peter. Genesis, or, the First Book of Moses, translated from the German by Lewis Th. New York, Ch.","- 6) LANGE John Peter. Genesis, or, the First Book of Moses, translated from the German by Lewis Th. New York, Ch."
documents/BO0624_4389,6,459,"a) PSALTERIUM TETRAGLOTTUM, gr. syr. chald. lat... imprimendum curavit NESTLE Eberardus. Tubingae, 1879.","459. a) PSALTERIUM TETRAGLOTTUM, gr. syr. chald. lat... imprimendum curavit NESTLE Eberardus. Tubingae, 1879.
- b) Il N. Testam. volgarizzato da C. M. CurcI. Napoli, Gian-"
documents/BO0624_4389,459,20,"nini, 1880, vol. 3°.","20. nini, 1880, vol. 3°.
- C) II SALTERIO volgarizzato dall'ebreo... da C. M. CURCI."
documents/BO0624_4389,20,2,"Roma, tip. Centenari, 1883.","2. Roma, tip. Centenari, 1883.
- d) Cento Salmi trad. letteralmente dal testo ebraico e comment. da Fr. Sav. PATRIzI. Roma, 1875."
documents/BO0624_4389,2,460,"a) GESENIUS William. A Hebrew and English Lexicon of old Testament. Boston, Crocker and Brewster, 1865 ; leg. in","460. a) GESENIUS William. A Hebrew and English Lexicon of old Testament. Boston, Crocker and Brewster, 1865 ; leg. in"
documents/BO0624_4389,460,5,mezzo cuoio.,"5. mezzo cuoio.
- b) Biblia Hebraica secundum editiones Jos. Ahthiae, Jo. Leusden... Lipsiae, Tauchnitz, 1831."
documents/BO0624_4389,5,7,46г. BIBLIA PAUPERUM... With the Proper Descrypciouns therof,7. 46г. BIBLIA PAUPERUM... With the Proper Descrypciouns therof
