catalogue_id,occurrences,types
BO0624_84126,8,aquarelles|dessins|gravures|miniature|portrait|sculptures|tableaux
BO0624_84127,12,buste|portrait|sculptures|tableaux|tapisserie
BO0624_84128,1,terre cuite
BO0624_84131,2,portrait|tapisserie
BO0624_84132,39,buste|dessin|paysage|paysages|portrait|portraits
BO0624_84133,1,tableaux
BO0624_84135,3,buste|portrait|sculptures
BO0624_84136,3,gravures|tableaux|tapisserie
BO0624_84138,3,portrait|sculptures|tableaux
BO0624_84139,9,dessin|portrait|portraits|sculptures|tableaux
BO0624_84140,5,aquarelles|dessins|estampes
BO0624_84141,14,aquarelles|dessins|esquisse|estampes|gravures|nature morte|paysage|portrait|tableaux
BO0624_84142,4,dessins|portrait|sculptures|tableaux
BO0624_84143,1,tapisserie
BO0624_84145,13,marbre|portrait|sculptures|tapisserie|terre cuite
BO0624_84146,23,buste|portrait|sculptures|tableaux
BO0624_84148,2,tableaux
BO0624_84149,5,portrait|sculptures|tableaux|tapisserie
BO0624_84152,1,sculptures
BO0624_84153,9,buste|paysage|portrait
BO0624_84156,93,buste|dessins|paysage|portrait|sculptures
BO0624_84157,13,buste|paysage|portrait
BO0624_84159,23,marbre|portrait
BO0624_84160,1,tableaux
BO0624_84162,4,dessins|sculptures|tableaux|tapisserie
BO0624_84164,1,tapisserie
BO0624_84165,1,sculptures
BO0624_84168,39,buste|dessins|marbre|paysage|portrait|sculpture|sculptures|tableau|tableaux
BO0624_84170,32,dessins|paysage|portrait|sculpture|sculptures|tableau|tableaux
BO0624_84172,10,aquarelle|buste|dessin|estampes|gravures|sculptures|tableaux
BO0624_84174,6,bronze|marbre|sculptures|tapisserie|terre cuite
BO0624_84176,15,portrait|sculptures
BO0624_84177,8,aquarelles|dessins|paysage|portrait|tableaux
BO0624_84178,2,paysage|portrait
BO0624_84181,1,sculptures
BO0624_84182,3,dessins|gravures|tableaux
BO0624_84184,2,sculpture|tableaux
BO0624_84185,8,bronze|marbre|paysage|portrait|sculptures|tableaux
BO0624_84186,10,aquarelles|dessins|gravures|paysage|portrait|tableaux|tapisserie
BO0624_84187,3,dessins|portrait|tableaux
BO0624_84189,40,aquarelles|buste|dessins|marbre|miniature|nature morte|paysage|peinture|peintures|portrait
BO0624_84191,11,aquarelles|buste|dessins|gravures|portrait|tableaux
BO0624_84194,12,aquarelles|buste|dessins|portrait|sculptures|tableaux
BO0624_84195,8,aquarelles|dessins|gouache|gravures|portrait|tableaux
BO0624_84196,1,tableaux
BO0624_84198,12,panneau|paysage|peintures|portrait|sculptures|tableaux
BO0624_84199,4,aquarelles|dessins|portrait|tableaux
BO0624_84201,7,portrait|tableaux|tapisserie
BO0624_84203,24,aquarelles|buste|dessins|paysage|peintures|portrait|sculptures|statuette
BO0624_84205,5,aquarelle|dessins|sculpture|tableaux
BO0624_84206,1,tableaux
BO0624_84207,10,aquarelles|bronze|dessins|marbre|portrait|sculptures|tableaux|tapisserie|terre cuite
BO0624_84209,4,dessins|estampes|gravures|tableaux
BO0624_84210,3,buste|tableaux
BO0624_84213,8,portrait
BO0624_84214,8,aquarelles|buste|dessins|portrait|sculptures
BO0624_84215,32,bas-relief|buste|dessins|paysages|portrait|relief|sculpture|sculptures|tapisserie
BO0624_84216,52,aquarelles|buste|dessins|gravure|paysage|portrait|portraits|tableaux
BO0624_84217,7,portrait|tableaux|terre cuite
BO0624_84219,1,sculptures
BO0624_84220,3,portrait|tableaux|tapisserie
BO0624_84222,2,sculptures|tableaux
BO0624_84223,7,portrait|sculptures
BO0624_84224,9,aquarelles|dessin|dessins|portrait|sculptures|tapisserie
BO0624_84225,7,aquarelles|dessins|paysage|portrait
BO0624_84226,7,gouache|paysage|portrait|tableaux|tapisserie
BO0624_84228,7,bronze|dessins|gravures|marbre|sculptures|statuette|tableaux
BO0624_84229,13,aquarelles|bronze|dessins|gravures|paysage|peintures|portrait|portraits|sculptures|terre cuite
BO0624_84230,45,aquarelles|bronze|buste|dessins|marbre|paysage|peinture|portrait|portraits|sculptures|tapisserie
BO0624_84231,12,buste|portrait|sculptures|tableaux
BO0624_84233,17,paysage|portrait|portraits
BO0624_84234,4,gouache|paysage|sculptures|tableaux
BO0624_84235,24,buste|dessins|portrait|tableaux|tapisserie
BO0624_84237,17,bronze|dessins|nature morte|paysages|portrait|sculptures|tableaux|tapisserie
BO0624_84238,7,aquarelles|dessins|portrait|sculptures|tableaux|tapisserie
BO0624_84239,4,aquarelles|dessins|sculptures|tableaux
BO0624_84240,13,dessins|portrait|portraits|sculptures|tableaux
BO0624_84241,3,gravures|peintures|sculptures
BO0624_84243,7,dessins|portrait|sculptures|tableaux
BO0624_84244,3,aquarelles|dessins|peintures
BO0624_84247,3,portrait|sculptures|tableaux
BO0624_84248,47,dessins|estampes|gravures|portrait|portraits
BO0624_84249,1,sculptures
BO0624_84250,2,sculptures|tableaux
BO0624_84251,17,aquarelles|buste|dessins|nature morte|paysage|portrait|sculptures|tableaux
BO0624_84253,2,dessin|sculptures
BO0624_84255,2,sculptures|tableaux
BO0624_84256,20,buste|portrait|sculptures|tableaux
BO0624_84257,35,aquarelles|buste|dessins|esquisse|paysage|portrait|sculptures|tableaux|tapisserie
BO0624_84258,7,portrait|portraits
BO0624_84260,27,aquarelles|bronze|buste|dessins|paysage|peintures|portrait|portraits|sculptures|statuette|tableau|tapisserie
BO0624_84261,4,aquarelle|gravures|sculptures|tableaux
BO0624_84262,7,buste|dessins|gravures|portrait|sculpture|tableau|tableaux
BO0624_84263,1,sculptures
BO0624_84265,19,buste|paysage|portrait|sculptures|tableaux
BO0624_84267,18,portrait|sculptures|tableaux|tapisserie
BO0624_84268,2,tableaux
BO0624_84272,5,dessins|portrait|sculptures|tableaux
BO0624_84273,20,bronze|marbre|sculptures|statuette|tapisserie|terre cuite
BO0624_84274,12,aquarelle|dessin|paysage|portrait|sculptures|tableaux
BO0624_84275,25,bas-relief|bronze|buste|marbre|sculptures|statuette|tapisserie|terre cuite
BO0624_84276,25,buste|paysages|portrait|tableaux
BO0624_84279,25,bronze|buste|paysage|portrait|statuette
BO0624_84281,29,aquarelles|buste|dessins|paysage|portrait|portraits|sculpture|tableaux|tapisserie
BO0624_84288,34,nature morte|panneau|paysage|portrait
BO0624_84289,12,aquarelles|bronze|buste|dessins|portrait|sculptures|tableaux|tapisserie
BO0624_84290,7,portrait|tableaux
BO0624_84292,3,dessin|sculptures|tableaux
BO0624_84295,2,paysage|sculptures
BO0624_84296,6,bronze|dessin|portrait
BO0624_84298,3,dessins|sculptures|tableaux
BO0624_84299,15,bronze|marbre|paysage|portrait|sculptures|tableaux|terre cuite
