inventario,dc.title,handle,manifest
BO0624_84075,"Catalogue des tableaux par Corot, Daubigny, Decamps ... objets d'art et d'ameublement ... dont la vente par suite de décès de M. Ernest Greux: mardi 5 et mercredi 6 décembre 1911",https://historica.unibo.it/handle/20.500.14008/93487,https://historica.unibo.it/server/iiif/03bcd1ce-8f8b-4687-be4a-1cd5ea411922/manifest
BO0624_88407,Gemälde und Aquarelle neuerer Meister aus Privatbesitz: ... Versteigerung ... den 10. Februar 1920,https://historica.unibo.it/handle/20.500.14008/94394,https://historica.unibo.it/server/iiif/03d56cc3-6c9c-425f-9da5-b0d9659c66c7/manifest
BO0624_84133,"Catalogue des objets d'art et d'ameublement, faiences italienne, francaises et Hispano-Mauresques ... tapisserie flamandes du 16. siècle, tableaux anciens et modernes dont la vente ... aura lieu a Paris, Hotel Drouot, Salle n. 1 le vendredi 20 et samedi 21 décembre 1912",https://historica.unibo.it/handle/20.500.14008/93533,https://historica.unibo.it/server/iiif/03da1c05-946a-435c-90fe-cd2c31dcaed0/manifest
BO0624_66084,"Catalogue of Chinese porcelain and pottery, objects of art, tapestry and Eastern rugs and carpets, the property of R. H. Benson: tuesday, june 18, 1929",https://historica.unibo.it/handle/20.500.14008/93205,https://historica.unibo.it/server/iiif/03f6e2d7-b8fa-4d89-9619-e31232ad95d4/manifest
BO0624_87385,"Catalog der reichhaltigen Kunst-Sammlung des verstorbenen herrn professor Compars Herrmann in Wien: majoliken, arbeiten in glas ...: Versteigerung zu Koln, den 28. u. 29. Mai 1888 ...",https://historica.unibo.it/handle/20.500.14008/93708,https://historica.unibo.it/server/iiif/0468948b-5251-4cf3-bb9c-dd212acfda59/manifest
BO0624_87965,"Sammlung Barlow, Monaco: Ölgemälde Hervorragender Meister des XIX. Jahrunderts: [Auktion in der Galerie Helbing in München...den 17. Juni 1911]",https://historica.unibo.it/handle/20.500.14008/94086,https://historica.unibo.it/server/iiif/0472dfbc-907e-491d-8d3c-05d61ba8ef79/manifest
BO0624_81844,Catalogo della Grande Raccolta d'Arte Antica e Moderna già appartenente ad un colto e fine collezionista veneto che sarà venduta al maggior offerente,https://historica.unibo.it/handle/20.500.14008/92877,https://historica.unibo.it/server/iiif/047d6c3e-c9bb-47e0-84c0-dca058dd0b4a/manifest
BO0624_84272,"Catalogue des objets d'art et de bel ameublement du 18. siècle et autres tableaux anciens, aquarelles, dessins, gouaches par Barbier ... meubles, sièges, écrans en bois sculpté ... composant la collection de M. le Vicomte Beuret: mardi 25 novembre 1924",https://historica.unibo.it/handle/20.500.14008/93643,https://historica.unibo.it/server/iiif/04a2a011-1e9f-497d-8e9e-699fbfeb569d/manifest
BO0624_87423,"Katalog der Gemälde- & Miniaturensammlung aus dem Nachlasse des Herrn Dominico Di Bossi, Versteigerung zu Stuttgart ... den 21. Juli unter Leitung des Herrn Carl Maurer, Gerichtlich verpflichterer Kunstexpert in München",https://historica.unibo.it/handle/20.500.14008/93736,https://historica.unibo.it/server/iiif/04a4af69-ab88-40ac-b554-04c79edc0fdc/manifest
BO0624_44631,"Catalogue des vitraux anciens, française, allemands, suisses & divers des 13., 14., 15., 16. & 17. siècles composant la collection Engel-Gros: Hotel Drouot, le jeudi 7 décembre 1922",https://historica.unibo.it/handle/20.500.14008/92680,https://historica.unibo.it/server/iiif/04bad59b-eeb1-474e-83de-17aa764eeca2/manifest
BO0624_51175,"Illustrated catalogue of valuable paintings and water colors by masters ... collected by the late Mr. Samuel S. Laird of Philadelphia, Pennsylvania ... to be sold by order of Mr. George S. Laird ... at hte American Art Galleries on the evening of January 9, 1924",https://historica.unibo.it/handle/20.500.14008/92706,https://historica.unibo.it/server/iiif/0535f9ed-f082-426e-88b0-becf53bc6a11/manifest
BO0624_88039,"Gemalde alter Meister und Miniaturen des 15. bis 18. Jahrhunderts: Versteigerung: Dienstag, 1. Oktober 1912",https://historica.unibo.it/handle/20.500.14008/94131,https://historica.unibo.it/server/iiif/054b16dc-b18d-4271-a739-9afe6a509618/manifest
BO0624_88380,"Katalog der Gemälde alter und moderner Meister: Stoffe, Teppiche und Möbel aus fürstlichem Besitz: aus dem Nachlass des Freiherrn v. Zwierlein-Geisenheim und aus der österr.-ungarischen Gesandtschaft in München: Versteigerung: 24. Juni 1919",https://historica.unibo.it/handle/20.500.14008/94375,https://historica.unibo.it/server/iiif/0563ca93-c827-4f82-bc9a-4b71293769d8/manifest
BO0624_87544,"Collection Georg Hirth: 2. abtheilung: *Kunstgewerbe, Oelgemälde, Graphische Künste etc..",https://historica.unibo.it/handle/20.500.14008/93807,https://historica.unibo.it/server/iiif/0590490d-ab8e-46ed-b494-475c5343407d/manifest
BO0624_83886,"Catalogue des tableaux anciens, pastels, aquarelle, oeuvres de Boilly, Bonington, Chardin, Corneille de Lyon, Danloux ... provenant des collections de m. le comte A. De G. et de madame X.: Hotel Drouot, le mardi 16 avril 1907",https://historica.unibo.it/handle/20.500.14008/93356,https://historica.unibo.it/server/iiif/059e3293-9cde-45b5-bb32-aefaebed6924/manifest
BO0624_81977,Pinacoteca di Armando Brasini,https://historica.unibo.it/handle/20.500.14008/92973,https://historica.unibo.it/server/iiif/05a18e97-cb54-4020-89f9-f7fa52bf5767/manifest
BO0624_87946,"Oelgemälde alter Meister aus Münchner und Hamburger Privatbesitz, aus österreicischem Adelsbesitz etc.: Auktion in München in der Galerie Helbing ... Mittwoch, den 8. März 1911",https://historica.unibo.it/handle/20.500.14008/94077,https://historica.unibo.it/server/iiif/05a873ac-fa32-40d7-98fd-174748b7b8b5/manifest
BO0624_4389,"Catalogo della vendita della collezione del fu Reverendo dottor Roberto I. Nevin, Rettore della Chiesa Americana di S. Paolo in Roma: maioliche, oggetti di scavo ...: vendita in Piazza Borghese, 10 nei giorni 22 ... aprile",https://historica.unibo.it/handle/20.500.14008/92515,https://historica.unibo.it/server/iiif/05b16c24-205a-4376-836b-d1138f562307/manifest
BO0624_83964,"Catalogue de tableaux anciens gouaches & dessins par Blarenberghe, Boilly (L.-L.), Cuelen (Van), Fyt (J.) ... oeuvres importantes par Louis François Watteau formant la collection de M. D., de Lille: Hotel Drouot, les vendredi 23 et samedi 24 avril 1909",https://historica.unibo.it/handle/20.500.14008/93408,https://historica.unibo.it/server/iiif/05e67330-4574-48e8-ac34-bc14873d85dc/manifest
BO0624_5670,Catalogue des objets d'art et d'ameublement du chateau royal de Govone et du chateau de Brignano (ancienne maison Visconti) et d'une collection d'objets ayant appartenus à Napoléon 1.: la vente aura lieu au chateau de Govone ...,https://historica.unibo.it/handle/20.500.14008/93013,https://historica.unibo.it/server/iiif/05e8780b-6dbd-4fb0-9820-ff5aabb9a762/manifest
BO0624_87736,"Oelgemalde alter Meister: Ausstellung: Sonntag, den 29. und Montag, den 30 Oktober 1905: Versteigerung, Dienstag, den 31. Oktober 1905",https://historica.unibo.it/handle/20.500.14008/93926,https://historica.unibo.it/server/iiif/05ecb70b-dd30-4ed0-a6bb-5f5b02df658e/manifest
BO0624_87590,Katalog der reichhaltigen Gemälde-Sammlung aus dem Nachlasse des Herrn Privatiers Fr. Thelen zu Antwerpen. Gemälde älterer und neuerer Meister: Versteigerung zu Köln am 8. und 9. October 1900 durch J. M. Heberle (H. Lempertz's Söhne),https://historica.unibo.it/handle/20.500.14008/93834,https://historica.unibo.it/server/iiif/060443bd-ff06-404e-bbf2-d75ba47de49b/manifest
BO0624_84321,Catalogue des ivoires anciens ... importante châsse en émail champlevé de Limoges ... composant la collection de M. Émile Lévy: vendredi 14 décembre 1928,https://historica.unibo.it/handle/20.500.14008/93673,https://historica.unibo.it/server/iiif/060f0d6a-67a7-4898-9ec2-dcda049842ed/manifest
BO0624_84268,"Tableaux modernes, aquarelles, dessins & gravure par Bellangé, Beltram, Calbet ... tableaux anciens par Callcott, Clermont ...: vendredi 16 mai 1924",https://historica.unibo.it/handle/20.500.14008/93639,https://historica.unibo.it/server/iiif/0628d533-2e40-4621-ab56-85acae377d21/manifest
BO0624_83786,"Catalogue d'un important et riche mobilier moderne, sièges, bronzes d'art & d'ameublement ...: mercredi 3 ... samedi 6 mai 1905",https://historica.unibo.it/handle/20.500.14008/93292,https://historica.unibo.it/server/iiif/0637118c-a67c-45a2-a27c-e41fbbb13e98/manifest
BO0624_88802,Sammlung Murray,https://historica.unibo.it/handle/20.500.14008/94718,https://historica.unibo.it/server/iiif/065b7eb1-cdbc-4347-81c2-450a6466ea9b/manifest
BO0624_83744,"Collection de M. de Monbrison: Catalogue de tableaux anciens et portraits historiques du XVII siècle français par N. del Abbate, Allegri dit le Corrège, Beaubrun, Bellini ... deux tapisseries du XVI siècle ...: le vendredi 13 mai 1904",https://historica.unibo.it/handle/20.500.14008/92834,https://historica.unibo.it/server/iiif/0670cf0a-e87c-4f51-b927-1a12b36d6845/manifest
